breakfast,lunch,dinner,snack,nutrition_goal
Scrambled Eggs,Dal Bhat,Saag (Leafy Green Curry),Chatpate,weight_gain
Granola,Chicken Curry,Vegetable Soup,Banana (Kera),weight_gain
Muesli,Aloo Tama (Potato Bamboo Curry),Dal Bhat,Popcorn,maintenance
Sel Roti,Momo (Steamed Dumpling),Chicken Soup,Sprouts Salad,weight_gain
Scrambled Eggs,Thukpa (Noodle Soup),Brown Rice,Fruit Salad (Phalphul),muscle_gain
Granola,Vegetable Biryani,Dal Bhat,Banana (Kera),weight_loss
Scrambled Eggs,Momo (Steamed Dumpling),Roti (Wheat Flatbread),Popcorn,maintenance
Bara (Black Lentil Pancake),Mixed Vegetable Curry,Fish Curry (Macha Ko Jhol),Peanuts (Badaam),weight_loss
Boiled Egg,Dal Bhat,Dal Bhat,Sprouts Salad,weight_gain
Sel Roti,Chicken Curry,Buff Choila,Sprouts Salad,muscle_gain
Bara (Black Lentil Pancake),Khichdi,Brown Rice,Banana (Kera),muscle_gain
Scrambled Eggs,Mixed Vegetable Curry,Chicken Soup,Chatpate,muscle_gain
Milk Tea (Chiya),Mixed Vegetable Curry,Saag (Leafy Green Curry),Chatpate,weight_gain
Boiled Egg,Aloo Tama (Potato Bamboo Curry),Fish Curry (Macha Ko Jhol),Popcorn,weight_loss
Muesli,Khichdi,Roti (Wheat Flatbread),Fruit Salad (Phalphul),maintenance
Oatmeal (Jaulo),Chicken Curry,Tofu Stir Fry,Chatpate,maintenance
Bara (Black Lentil Pancake),Paneer Curry,Tofu Stir Fry,Mixed Green Salad,muscle_gain
Boiled Egg,Chapati with Sabzi,Brown Rice,Banana (Kera),maintenance
Boiled Egg,Gundruk,Curd Rice,Yogurt (Dahi),maintenance
Poha (Flattened Rice),Paneer Curry,Roti (Wheat Flatbread),Banana (Kera),weight_loss
Boiled Egg,Chicken Curry,Tofu Stir Fry,Protein Bar,muscle_gain
Scrambled Eggs,Aloo Tama (Potato Bamboo Curry),Dal Bhat,Fruit Salad (Phalphul),weight_gain
Poha (Flattened Rice),Paneer Curry,Mutton Curry,Peanuts (Badaam),maintenance
Muesli,Chicken Curry,Brown Rice,Popcorn,weight_gain
Granola,Khichdi,Fish Curry (Macha Ko Jhol),Banana (Kera),maintenance
Bara (Black Lentil Pancake),Aloo Tama (Potato Bamboo Curry),Curd Rice,Yogurt (Dahi),muscle_gain
Boiled Egg,Mixed Vegetable Curry,Buff Choila,Mixed Green Salad,muscle_gain
Roti (Wheat Flatbread),Paneer Curry,Saag (Leafy Green Curry),Protein Bar,maintenance
Granola,Dal Bhat,Fish Curry (Macha Ko Jhol),Popcorn,muscle_gain
Sel Roti,Khichdi,Saag (Leafy Green Curry),Banana (Kera),maintenance
Granola,Khichdi,Brown Rice,Popcorn,maintenance
Scrambled Eggs,Paneer Curry,Tofu Stir Fry,Lapsi Candy (Hog Plum),weight_gain
Chiura (Beaten Rice),Gundruk,Dal Bhat,Sprouts Salad,muscle_gain
Muesli,Mixed Vegetable Curry,Roti (Wheat Flatbread),Peanuts (Badaam),maintenance
Cereal (Corn Flakes),Gundruk,Buff Choila,Mixed Green Salad,weight_loss
Poha (Flattened Rice),Chicken Curry,Brown Rice,Mixed Green Salad,muscle_gain
Cereal (Corn Flakes),Gundruk,Mutton Curry,Fruit Salad (Phalphul),weight_gain
Muesli,Khichdi,Grilled Chicken Breast,Fruit Salad (Phalphul),maintenance
Idli,Chicken Curry,Chicken Soup,Chatpate,weight_gain
Cereal (Corn Flakes),Vegetable Biryani,Dal Bhat,Yogurt (Dahi),muscle_gain
Idli,Gundruk,Roti (Wheat Flatbread),Peanuts (Badaam),muscle_gain
Muesli,Chapati with Sabzi,Buff Choila,Apple (Syau),muscle_gain
Boiled Egg,Masoor Dal,Curd Rice,Roasted Corn (Bilaune Makai),weight_loss
Poha (Flattened Rice),Mixed Vegetable Curry,Vegetable Soup,Sprouts Salad,weight_gain
Chiura (Beaten Rice),Mixed Vegetable Curry,Grilled Chicken Breast,Lapsi Candy (Hog Plum),muscle_gain
Bara (Black Lentil Pancake),Khichdi,Fish Curry (Macha Ko Jhol),Peanuts (Badaam),muscle_gain
Granola,Dal Bhat,Tofu Stir Fry,Peanuts (Badaam),maintenance
Muesli,Aloo Tama (Potato Bamboo Curry),Roti (Wheat Flatbread),Protein Bar,maintenance
Cereal (Corn Flakes),Chapati with Sabzi,Brown Rice,Banana (Kera),weight_gain
Bara (Black Lentil Pancake),Chapati with Sabzi,Buff Choila,Mixed Green Salad,muscle_gain
Boiled Egg,Gundruk,Dal Bhat,Protein Bar,muscle_gain
Bara (Black Lentil Pancake),Paneer Curry,Curd Rice,Fruit Salad (Phalphul),maintenance
Idli,Chicken Curry,Roti (Wheat Flatbread),Banana (Kera),weight_gain
Scrambled Eggs,Momo (Steamed Dumpling),Grilled Chicken Breast,Sprouts Salad,weight_loss
Muesli,Chicken Curry,Roti (Wheat Flatbread),Banana (Kera),muscle_gain
Boiled Egg,Khichdi,Fish Curry (Macha Ko Jhol),Popcorn,weight_loss
Scrambled Eggs,Vegetable Biryani,Saag (Leafy Green Curry),Popcorn,weight_gain
Roti (Wheat Flatbread),Dal Bhat,Vegetable Soup,Peanuts (Badaam),weight_loss
Oatmeal (Jaulo),Gundruk,Vegetable Soup,Banana (Kera),maintenance
Muesli,Thukpa (Noodle Soup),Grilled Chicken Breast,Sprouts Salad,weight_loss
Sel Roti,Vegetable Biryani,Chicken Soup,Yogurt (Dahi),weight_gain
Granola,Mixed Vegetable Curry,Mutton Curry,Yogurt (Dahi),muscle_gain
Boiled Egg,Vegetable Biryani,Grilled Chicken Breast,Peanuts (Badaam),maintenance
Cereal (Corn Flakes),Masoor Dal,Dal Bhat,Roasted Corn (Bilaune Makai),maintenance
Oatmeal (Jaulo),Vegetable Biryani,Tofu Stir Fry,Apple (Syau),maintenance
Roti (Wheat Flatbread),Gundruk,Tofu Stir Fry,Popcorn,weight_gain
Muesli,Chapati with Sabzi,Grilled Chicken Breast,Protein Bar,maintenance
Cereal (Corn Flakes),Gundruk,Brown Rice,Sprouts Salad,weight_gain
Milk Tea (Chiya),Gundruk,Roti (Wheat Flatbread),Mixed Green Salad,weight_gain
Boiled Egg,Khichdi,Fish Curry (Macha Ko Jhol),Fruit Salad (Phalphul),muscle_gain
Idli,Chapati with Sabzi,Buff Choila,Protein Bar,weight_gain
Idli,Chicken Curry,Chicken Soup,Yogurt (Dahi),weight_gain
Chiura (Beaten Rice),Thukpa (Noodle Soup),Vegetable Soup,Fruit Salad (Phalphul),weight_loss
Cereal (Corn Flakes),Paneer Curry,Brown Rice,Chatpate,muscle_gain
Roti (Wheat Flatbread),Khichdi,Buff Choila,Mixed Green Salad,weight_gain
Chiura (Beaten Rice),Chapati with Sabzi,Saag (Leafy Green Curry),Chatpate,maintenance
Bara (Black Lentil Pancake),Aloo Tama (Potato Bamboo Curry),Roti (Wheat Flatbread),Banana (Kera),weight_gain
Cereal (Corn Flakes),Aloo Tama (Potato Bamboo Curry),Roti (Wheat Flatbread),Banana (Kera),maintenance
Muesli,Khichdi,Buff Choila,Chatpate,weight_gain
Chiura (Beaten Rice),Gundruk,Chicken Soup,Protein Bar,maintenance
Roti (Wheat Flatbread),Thukpa (Noodle Soup),Vegetable Soup,Banana (Kera),weight_loss
Sel Roti,Momo (Steamed Dumpling),Dal Bhat,Peanuts (Badaam),weight_loss
Sel Roti,Vegetable Biryani,Tofu Stir Fry,Sprouts Salad,weight_loss
Muesli,Gundruk,Brown Rice,Chatpate,muscle_gain
Oatmeal (Jaulo),Dal Bhat,Vegetable Soup,Fruit Salad (Phalphul),maintenance
Boiled Egg,Aloo Tama (Potato Bamboo Curry),Tofu Stir Fry,Banana (Kera),weight_gain
Muesli,Thukpa (Noodle Soup),Mutton Curry,Fruit Salad (Phalphul),weight_loss
Boiled Egg,Aloo Tama (Potato Bamboo Curry),Buff Choila,Sprouts Salad,weight_loss
Sel Roti,Paneer Curry,Tofu Stir Fry,Popcorn,weight_gain
Granola,Vegetable Biryani,Fish Curry (Macha Ko Jhol),Banana (Kera),weight_gain
Scrambled Eggs,Chicken Curry,Grilled Chicken Breast,Sprouts Salad,maintenance
Boiled Egg,Aloo Tama (Potato Bamboo Curry),Roti (Wheat Flatbread),Fruit Salad (Phalphul),maintenance
Sel Roti,Mixed Vegetable Curry,Fish Curry (Macha Ko Jhol),Lapsi Candy (Hog Plum),muscle_gain
Sel Roti,Mixed Vegetable Curry,Dal Bhat,Popcorn,maintenance
Roti (Wheat Flatbread),Gundruk,Mutton Curry,Protein Bar,muscle_gain
Poha (Flattened Rice),Mixed Vegetable Curry,Fish Curry (Macha Ko Jhol),Roasted Corn (Bilaune Makai),weight_loss
Scrambled Eggs,Momo (Steamed Dumpling),Brown Rice,Protein Bar,muscle_gain
Muesli,Khichdi,Vegetable Soup,Banana (Kera),maintenance
Sel Roti,Mixed Vegetable Curry,Fish Curry (Macha Ko Jhol),Banana (Kera),maintenance
Idli,Khichdi,Dal Bhat,Apple (Syau),weight_gain
Scrambled Eggs,Vegetable Biryani,Buff Choila,Banana (Kera),weight_gain
Boiled Egg,Vegetable Biryani,Mutton Curry,Banana (Kera),weight_loss
Idli,Chapati with Sabzi,Dal Bhat,Banana (Kera),maintenance
Oatmeal (Jaulo),Chapati with Sabzi,Saag (Leafy Green Curry),Fruit Salad (Phalphul),maintenance
Boiled Egg,Momo (Steamed Dumpling),Saag (Leafy Green Curry),Fruit Salad (Phalphul),weight_gain
Bara (Black Lentil Pancake),Momo (Steamed Dumpling),Saag (Leafy Green Curry),Mixed Green Salad,weight_loss
Roti (Wheat Flatbread),Chicken Curry,Dal Bhat,Popcorn,maintenance
Cereal (Corn Flakes),Momo (Steamed Dumpling),Fish Curry (Macha Ko Jhol),Roasted Corn (Bilaune Makai),muscle_gain
Milk Tea (Chiya),Thukpa (Noodle Soup),Roti (Wheat Flatbread),Apple (Syau),muscle_gain
Scrambled Eggs,Thukpa (Noodle Soup),Curd Rice,Popcorn,maintenance
Scrambled Eggs,Dal Bhat,Roti (Wheat Flatbread),Protein Bar,maintenance
Oatmeal (Jaulo),Paneer Curry,Fish Curry (Macha Ko Jhol),Lapsi Candy (Hog Plum),muscle_gain
Oatmeal (Jaulo),Momo (Steamed Dumpling),Dal Bhat,Yogurt (Dahi),muscle_gain
Muesli,Chapati with Sabzi,Vegetable Soup,Popcorn,maintenance
Granola,Khichdi,Buff Choila,Chatpate,maintenance
Muesli,Thukpa (Noodle Soup),Vegetable Soup,Protein Bar,maintenance
Bara (Black Lentil Pancake),Paneer Curry,Grilled Chicken Breast,Apple (Syau),maintenance
