breakfast,lunch,dinner,snack,nutrition_goal
Poha (Flattened Rice),Momo (Steamed Dumpling),Saag (Leafy Green Curry),Lapsi Candy (Hog Plum),weight_loss
Bara (Black Lentil Pancake),Dal Bhat,Buff Choila,Sprouts Salad,muscle_gain
Sel Roti,Gundruk,Tofu Stir Fry,Popcorn,weight_gain
Scrambled Eggs,Paneer Curry,Tofu Stir Fry,Fruit Salad (Phalphul),maintenance
Oatmeal (Jaulo),Chapati with Sabzi,Curd Rice,Banana (Kera),maintenance
Cereal (Corn Flakes),Momo (Steamed Dumpling),Buff Choila,Peanuts (Badaam),weight_loss
Muesli,Khichdi,Grilled Chicken Breast,Lapsi Candy (Hog Plum),weight_gain
Granola,Aloo Tama (Potato Bamboo Curry),Buff Choila,Roasted Corn (Bilaune Makai),maintenance
Roti (Wheat Flatbread),Aloo Tama (Potato Bamboo Curry),Tofu Stir Fry,Peanuts (Badaam),weight_gain
Bara (Black Lentil Pancake),Momo (Steamed Dumpling),Tofu Stir Fry,Roasted Corn (Bilaune Makai),weight_loss
Poha (Flattened Rice),Momo (Steamed Dumpling),Mutton Curry,Chatpate,weight_gain
Granola,Momo (Steamed Dumpling),Chicken Soup,Protein Bar,maintenance
Milk Tea (Chiya),Momo (Steamed Dumpling),Roti (Wheat Flatbread),Fruit Salad (Phalphul),weight_gain
Roti (Wheat Flatbread),Thukpa (Noodle Soup),Grilled Chicken Breast,Peanuts (Badaam),muscle_gain
Bara (Black Lentil Pancake),Khichdi,Buff Choila,Mixed Green Salad,maintenance
Scrambled Eggs,Aloo Tama (Potato Bamboo Curry),Curd Rice,Chatpate,maintenance
Chiura (Beaten Rice),Khichdi,Vegetable Soup,Chatpate,muscle_gain
Poha (Flattened Rice),Vegetable Biryani,Mutton Curry,Fruit Salad (Phalphul),maintenance
Scrambled Eggs,Thukpa (Noodle Soup),Tofu Stir Fry,Mixed Green Salad,weight_loss
Cereal (Corn Flakes),Chicken Curry,Chicken Soup,Sprouts Salad,muscle_gain
Roti (Wheat Flatbread),Mixed Vegetable Curry,Curd Rice,Peanuts (Badaam),weight_gain
Idli,Mixed Vegetable Curry,Tofu Stir Fry,Apple (Syau),weight_loss
Bara (Black Lentil Pancake),Masoor Dal,Mutton Curry,Peanuts (Badaam),muscle_gain
Poha (Flattened Rice),Masoor Dal,Saag (Leafy Green Curry),Chatpate,weight_loss
Idli,Paneer Curry,Roti (Wheat Flatbread),Sprouts Salad,maintenance
Milk Tea (Chiya),Dal Bhat,Tofu Stir Fry,Mixed Green Salad,muscle_gain
Muesli,Khichdi,Roti (Wheat Flatbread),Mixed Green Salad,weight_loss
Scrambled Eggs,Mixed Vegetable Curry,Grilled Chicken Breast,Roasted Corn (Bilaune Makai),weight_loss
Milk Tea (Chiya),Paneer Curry,Grilled Chicken Breast,Mixed Green Salad,muscle_gain
Milk Tea (Chiya),Momo (Steamed Dumpling),Buff Choila,Lapsi Candy (Hog Plum),weight_gain
Granola,Thukpa (Noodle Soup),Dal Bhat,Mixed Green Salad,muscle_gain
Bara (Black Lentil Pancake),Thukpa (Noodle Soup),Mutton Curry,Fruit Salad (Phalphul),maintenance
Cereal (Corn Flakes),Aloo Tama (Potato Bamboo Curry),Curd Rice,Fruit Salad (Phalphul),muscle_gain
Bara (Black Lentil Pancake),Vegetable Biryani,Grilled Chicken Breast,Yogurt (Dahi),weight_loss
Idli,Paneer Curry,Dal Bhat,Roasted Corn (Bilaune Makai),weight_gain
Oatmeal (Jaulo),Mixed Vegetable Curry,Mutton Curry,Peanuts (Badaam),muscle_gain
Poha (Flattened Rice),Gundruk,Roti (Wheat Flatbread),Banana (Kera),weight_gain
Milk Tea (Chiya),Khichdi,Buff Choila,Sprouts Salad,weight_loss
Cereal (Corn Flakes),Chicken Curry,Curd Rice,Popcorn,muscle_gain
Idli,Paneer Curry,Chicken Soup,Mixed Green Salad,weight_gain
Bara (Black Lentil Pancake),Aloo Tama (Potato Bamboo Curry),Curd Rice,Popcorn,weight_loss
Granola,Chicken Curry,Saag (Leafy Green Curry),Popcorn,weight_gain
Idli,Momo (Steamed Dumpling),Vegetable Soup,Chatpate,weight_loss
Muesli,Gundruk,Grilled Chicken Breast,Chatpate,weight_gain
Oatmeal (Jaulo),Chicken Curry,Roti (Wheat Flatbread),Lapsi Candy (Hog Plum),weight_gain
Roti (Wheat Flatbread),Momo (Steamed Dumpling),Chicken Soup,Peanuts (Badaam),maintenance
Bara (Black Lentil Pancake),Masoor Dal,Fish Curry (Macha Ko Jhol),Fruit Salad (Phalphul),weight_gain
Scrambled Eggs,Masoor Dal,Buff Choila,Sprouts Salad,maintenance
Sel Roti,Masoor Dal,Buff Choila,Roasted Corn (Bilaune Makai),weight_loss
Roti (Wheat Flatbread),Chicken Curry,Chicken Soup,Protein Bar,weight_loss
