food_id,food_name,category,calories,protein,carbohydrates,fat,fiber,serving_size,recommended_goal,image_url
1,Dal Bhat,Dal & Rice,350,14.0,62.0,3.5,5.0,100g,maintenance,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5b/Dal_bhat.jpg/640px-Dal_bhat.jpg
2,Masoor Dal,Legumes,116,9.0,20.0,0.4,3.9,100g,weight_loss,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0e/Red_lentils.jpg/640px-Red_lentils.jpg
3,Chana Dal,Legumes,164,8.9,27.4,2.6,7.6,100g,weight_loss,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2e/Channadal.jpg/640px-Channadal.jpg
4,Mung Dal,Legumes,105,7.0,19.2,0.4,7.6,100g,weight_loss,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5e/Mung_beans_background.jpg/640px-Mung_beans_background.jpg
5,Toor Dal,Legumes,118,6.8,20.6,0.4,5.0,100g,maintenance,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e3/Toor_dal.jpg/640px-Toor_dal.jpg
6,Black Dal (Kali Dal),Legumes,127,9.0,21.6,0.8,5.3,100g,muscle_gain,https://upload.wikimedia.org/wikipedia/commons/thumb/5/52/Black_Urad_Dal.jpg/640px-Black_Urad_Dal.jpg
7,Kidney Beans (Rajma),Legumes,127,8.7,22.8,0.5,6.4,100g,muscle_gain,https://upload.wikimedia.org/wikipedia/commons/thumb/3/37/Kidney_beans.jpg/640px-Kidney_beans.jpg
8,Soybean,Legumes,173,16.6,9.9,9.0,6.0,100g,muscle_gain,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f8/Soybeans_dsc_series_home.jpg/640px-Soybeans_dsc_series_home.jpg
9,Chickpeas (Chana),Legumes,164,8.9,27.4,2.6,7.6,100g,weight_loss,https://upload.wikimedia.org/wikipedia/commons/thumb/7/72/Chickpeas_%28garbanzo_beans%29.jpg/640px-Chickpeas_%28garbanzo_beans%29.jpg
10,Steamed Rice,Rice & Grains,204,4.2,44.5,0.4,0.6,100g,maintenance,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7d/Banquet_rice.jpg/640px-Banquet_rice.jpg
11,Brown Rice,Rice & Grains,216,5.0,44.8,1.8,3.5,100g,weight_loss,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3a/Brown_rice.jpg/640px-Brown_rice.jpg
12,Chiura (Beaten Rice),Rice & Grains,346,6.9,76.9,1.4,1.7,100g,maintenance,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Chiura.jpg/640px-Chiura.jpg
13,Dhido (Buckwheat Porridge),Traditional,161,5.7,33.5,1.0,2.7,100g,weight_loss,https://upload.wikimedia.org/wikipedia/commons/thumb/4/45/Dhido.jpg/640px-Dhido.jpg
14,Roti (Wheat Flatbread),Bread & Roti,297,9.7,57.5,3.5,5.5,100g,maintenance,https://upload.wikimedia.org/wikipedia/commons/thumb/3/38/Chapati.jpg/640px-Chapati.jpg
15,Makai Roti (Corn Flatbread),Bread & Roti,218,5.1,45.5,2.1,3.8,100g,weight_loss,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2f/Makki_ki_roti.jpg/640px-Makki_ki_roti.jpg
16,Puri,Bread & Roti,349,7.0,48.0,16.0,2.0,100g,weight_gain,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6b/Puri_served.jpg/640px-Puri_served.jpg
17,Sel Roti,Traditional,325,5.0,55.0,10.5,1.2,100g,maintenance,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Sel_roti.jpg/640px-Sel_roti.jpg
18,Oatmeal (Jaulo),Rice & Grains,158,5.6,27.4,3.2,4.0,100g,weight_loss,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1c/Oatmeal.jpg/640px-Oatmeal.jpg
19,Millet (Kodo),Rice & Grains,378,11.0,72.8,4.2,8.5,100g,weight_loss,https://upload.wikimedia.org/wikipedia/commons/thumb/8/82/Millet_-_Pennisetum_glaucum.jpg/640px-Millet_-_Pennisetum_glaucum.jpg
20,Corn (Makai),Rice & Grains,96,3.4,21.0,1.5,2.4,100g,maintenance,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5d/Corn_kernels.jpg/640px-Corn_kernels.jpg
21,Gundruk,Fermented Foods,30,2.5,5.5,0.5,3.0,100g,weight_loss,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8e/Gundruk.jpg/640px-Gundruk.jpg
